bike_serial,name,tablet_serial,app_vesion,batch_no
SN0000,Bike-000,TAIOhey,2.7,Batch#001
SN0001,Bike-001,TAF2Lr2,2.6,Batch#004
SN0002,Bike-002,TAzA0yM,2.6,Batch#003
SN0003,Bike-003,TANYlms,2.7,Batch#002
SN0004,Bike-004,TAPvPIc,2.7,Batch#004
SN0005,Bike-005,TABAn2H,2.5,Batch#002
SN0006,Bike-006,TATjgDO,2.6,Batch#002
SN0007,Bike-007,TAkd8Ae,2.7,Batch#004
SN0008,Bike-008,TAELu78,2.7,Batch#003
SN0009,Bike-009,TA8Zo75,2.7,Batch#004
SN0010,Bike-010,TAjaADn,2.5,Batch#001
SN0011,Bike-011,TABdP1q,2.7,Batch#004
SN0012,Bike-012,TAKQ5Z3,2.7,Batch#002
SN0013,Bike-013,TAEwsTS,2.6,Batch#004
SN0014,Bike-014,TAyHr1H,2.7,Batch#003
SN0015,Bike-015,TA05DLt,2.6,Batch#004
SN0016,Bike-016,TAwG8pM,2.6,Batch#001
SN0017,Bike-017,TAHiB0M,2.7,Batch#004
SN0018,Bike-018,TAi5EwQ,2.6,Batch#002
SN0019,Bike-019,TAO2wiV,2.6,Batch#003
SN0020,Bike-020,TABO80j,2.7,Batch#004
SN0021,Bike-021,TAYC9ag,2.5,Batch#004
SN0022,Bike-022,TAzYl56,2.6,Batch#004
SN0023,Bike-023,TAbDWzR,2.7,Batch#001
SN0024,Bike-024,TAbVPj6,2.7,Batch#004
SN0025,Bike-025,TAJkkJ0,2.7,Batch#004
SN0026,Bike-026,TAEN5oD,2.7,Batch#003
SN0027,Bike-027,TAcFhlp,2.7,Batch#004
SN0028,Bike-028,TA9t2Wa,2.7,Batch#001
SN0029,Bike-029,TAUioDA,2.5,Batch#003
SN0030,Bike-030,TA2UB8D,2.6,Batch#004
SN0031,Bike-031,TAtKTcZ,2.7,Batch#004
SN0032,Bike-032,TAr4EHk,2.7,Batch#001
SN0033,Bike-033,TA16oCR,2.7,Batch#003
SN0034,Bike-034,TA9uFrc,2.6,Batch#002
SN0035,Bike-035,TAvWy6c,2.5,Batch#003
SN0036,Bike-036,TAwR3rK,2.5,Batch#003
SN0037,Bike-037,TAFZKe0,2.7,Batch#003
SN0038,Bike-038,TATFbre,2.6,Batch#003
SN0039,Bike-039,TAPqgvv,2.5,Batch#001
SN0040,Bike-040,TAQSeHl,2.7,Batch#004
SN0041,Bike-041,TAZyPhY,2.5,Batch#001
SN0042,Bike-042,TAWKKTW,2.6,Batch#003
SN0043,Bike-043,TAIYzST,2.7,Batch#002
SN0044,Bike-044,TAIOM45,2.6,Batch#004
SN0045,Bike-045,TAJEhGS,2.5,Batch#004
SN0046,Bike-046,TAhsKNL,2.7,Batch#002
SN0047,Bike-047,TApOwsC,2.7,Batch#004
SN0048,Bike-048,TAEnape,2.6,Batch#003
SN0049,Bike-049,TA2Cjjs,2.6,Batch#002
SN0050,Bike-050,TAwcWls,2.7,Batch#004
SN0051,Bike-051,TAKB29L,2.7,Batch#003
SN0052,Bike-052,TAezDFY,2.5,Batch#003
SN0053,Bike-053,TABcTm1,2.7,Batch#004
SN0054,Bike-054,TA4GIIm,2.7,Batch#003
SN0055,Bike-055,TAtkx3x,2.7,Batch#004
SN0056,Bike-056,TApRbPc,2.5,Batch#004
SN0057,Bike-057,TAcETiC,2.5,Batch#004
SN0058,Bike-058,TAc2Dg6,2.6,Batch#002
SN0059,Bike-059,TAdT5Bf,2.7,Batch#004
SN0060,Bike-060,TAeDZtX,2.7,Batch#002
SN0061,Bike-061,TAWU1eB,2.7,Batch#004
SN0062,Bike-062,TA4tYWU,2.5,Batch#002
SN0063,Bike-063,TA3OBuw,2.6,Batch#002
SN0064,Bike-064,TAwsDuH,2.7,Batch#003
SN0065,Bike-065,TAPQH7o,2.7,Batch#004
SN0066,Bike-066,TACDo8A,2.5,Batch#002
SN0067,Bike-067,TAjFrO4,2.7,Batch#003
SN0068,Bike-068,TANiSGd,2.6,Batch#002
SN0069,Bike-069,TA4tQby,2.5,Batch#001
SN0070,Bike-070,TAc3lKu,2.7,Batch#003
SN0071,Bike-071,TAvTm2S,2.7,Batch#003
SN0072,Bike-072,TAJ9yby,2.6,Batch#004
SN0073,Bike-073,TACwKvg,2.5,Batch#004
SN0074,Bike-074,TA55Vxg,2.7,Batch#003
SN0075,Bike-075,TAP52YS,2.7,Batch#004
SN0076,Bike-076,TAmop6A,2.6,Batch#002
SN0077,Bike-077,TAH34Vo,2.6,Batch#004
SN0078,Bike-078,TA2wzXH,2.7,Batch#004
SN0079,Bike-079,TAwuRP5,2.7,Batch#001
SN0080,Bike-080,TAT6vtq,2.7,Batch#002
SN0081,Bike-081,TApyL0j,2.6,Batch#003
SN0082,Bike-082,TAhPdgK,2.6,Batch#001
SN0083,Bike-083,TA0HXaP,2.7,Batch#003
SN0084,Bike-084,TAnx8WR,2.5,Batch#003
SN0085,Bike-085,TA6qS1N,2.7,Batch#004
SN0086,Bike-086,TAEYXXS,2.6,Batch#003
SN0087,Bike-087,TAI01M3,2.7,Batch#004
SN0088,Bike-088,TA8T9ap,2.7,Batch#003
SN0089,Bike-089,TA0bIJJ,2.5,Batch#004
SN0090,Bike-090,TA10x01,2.5,Batch#001
SN0091,Bike-091,TAlmB5K,2.6,Batch#004
SN0092,Bike-092,TA0SaYt,2.6,Batch#004
SN0093,Bike-093,TAXPEiV,2.5,Batch#003
SN0094,Bike-094,TA5wtXW,2.7,Batch#003
SN0095,Bike-095,TA68Rbq,2.7,Batch#002
SN0096,Bike-096,TALYI7x,2.7,Batch#003
SN0097,Bike-097,TAYsqpL,2.7,Batch#003
SN0098,Bike-098,TASZgfH,2.7,Batch#002
SN0099,Bike-099,TAtZSFQ,2.6,Batch#004
SN0100,Bike-100,TAatfUq,2.5,Batch#004
SN0101,Bike-101,TAgDsYn,2.7,Batch#004
SN0102,Bike-102,TA7bpPj,2.7,Batch#004
SN0103,Bike-103,TAx0C0z,2.7,Batch#004
SN0104,Bike-104,TAgN2yV,2.7,Batch#003
SN0105,Bike-105,TA0Gwl3,2.7,Batch#004
SN0106,Bike-106,TAZ45cj,2.6,Batch#004
SN0107,Bike-107,TAXtoFw,2.7,Batch#004
SN0108,Bike-108,TAvsorn,2.6,Batch#001
SN0109,Bike-109,TAQhslm,2.6,Batch#002
SN0110,Bike-110,TA4A5I2,2.6,Batch#003
SN0111,Bike-111,TAEAJLx,2.7,Batch#004
SN0112,Bike-112,TAQLFCc,2.5,Batch#003
SN0113,Bike-113,TAq9RRg,2.6,Batch#003
SN0114,Bike-114,TA4lSSG,2.5,Batch#001
SN0115,Bike-115,TABlLFp,2.7,Batch#004
SN0116,Bike-116,TA3Wr9B,2.7,Batch#004
SN0117,Bike-117,TA5hy1F,2.7,Batch#004
SN0118,Bike-118,TA4m3pK,2.6,Batch#003
SN0119,Bike-119,TA72uEK,2.6,Batch#004
SN0120,Bike-120,TAXLEnE,2.7,Batch#002
SN0121,Bike-121,TA3u3jH,2.5,Batch#004
SN0122,Bike-122,TAOtc3V,2.7,Batch#001
SN0123,Bike-123,TABj7jX,2.6,Batch#003
SN0124,Bike-124,TA3YRUc,2.7,Batch#003
SN0125,Bike-125,TATEWAZ,2.5,Batch#004
SN0126,Bike-126,TAxy60P,2.5,Batch#001
SN0127,Bike-127,TAhfHM0,2.6,Batch#001
SN0128,Bike-128,TA3M666,2.6,Batch#004
SN0129,Bike-129,TAX3dch,2.7,Batch#001
SN0130,Bike-130,TAHPumq,2.6,Batch#004
SN0131,Bike-131,TAgQvMh,2.6,Batch#004
SN0132,Bike-132,TAOqd05,2.6,Batch#003
SN0133,Bike-133,TAa3BuM,2.6,Batch#001
SN0134,Bike-134,TAGE4sx,2.7,Batch#002
SN0135,Bike-135,TAZzE4t,2.6,Batch#004
SN0136,Bike-136,TAH4IBv,2.7,Batch#003
SN0137,Bike-137,TAQHFxs,2.7,Batch#003
SN0138,Bike-138,TAi5Mh2,2.6,Batch#004
SN0139,Bike-139,TAar1Pu,2.6,Batch#004
SN0140,Bike-140,TAEDycA,2.6,Batch#004
SN0141,Bike-141,TAautEQ,2.7,Batch#001
SN0142,Bike-142,TAAZYwN,2.6,Batch#003
SN0143,Bike-143,TADwUUg,2.7,Batch#003
SN0144,Bike-144,TAT28d5,2.6,Batch#002
SN0145,Bike-145,TA5LBgw,2.7,Batch#003
SN0146,Bike-146,TASPukR,2.6,Batch#003
SN0147,Bike-147,TARaB9I,2.6,Batch#003
SN0148,Bike-148,TAKEys5,2.7,Batch#003
SN0149,Bike-149,TAyW0RO,2.7,Batch#004
SN0150,Bike-150,TAlKxp8,2.6,Batch#003
SN0151,Bike-151,TA26c4Q,2.7,Batch#004
SN0152,Bike-152,TA3Vxh3,2.7,Batch#001
SN0153,Bike-153,TAAfAmZ,2.6,Batch#003
SN0154,Bike-154,TATwnuW,2.7,Batch#002
SN0155,Bike-155,TAMZN1P,2.7,Batch#003
SN0156,Bike-156,TAo59IR,2.6,Batch#002
SN0157,Bike-157,TAnIG2O,2.6,Batch#003
SN0158,Bike-158,TA9mz7n,2.7,Batch#004
SN0159,Bike-159,TAEmvgn,2.7,Batch#004
SN0160,Bike-160,TAJvSLB,2.7,Batch#004
SN0161,Bike-161,TAR4hpJ,2.6,Batch#004
SN0162,Bike-162,TAcDGt9,2.7,Batch#004
SN0163,Bike-163,TADHtbO,2.7,Batch#003
SN0164,Bike-164,TAuaukz,2.6,Batch#004
SN0165,Bike-165,TAaT7Ti,2.5,Batch#003
SN0166,Bike-166,TAIyVMD,2.6,Batch#004
SN0167,Bike-167,TAVcofD,2.7,Batch#004
SN0168,Bike-168,TAp9J6J,2.6,Batch#001
SN0169,Bike-169,TA2F8H8,2.6,Batch#001
SN0170,Bike-170,TAL7ul8,2.7,Batch#002
SN0171,Bike-171,TASX0X3,2.6,Batch#002
SN0172,Bike-172,TAhmjps,2.7,Batch#001
SN0173,Bike-173,TA8EqPh,2.5,Batch#004
SN0174,Bike-174,TAQfmkX,2.6,Batch#001
SN0175,Bike-175,TAY4V8d,2.6,Batch#003
SN0176,Bike-176,TAIyKvH,2.7,Batch#003
SN0177,Bike-177,TAbUyKK,2.7,Batch#004
SN0178,Bike-178,TAFthB7,2.6,Batch#004
SN0179,Bike-179,TAS1QdL,2.6,Batch#004
SN0180,Bike-180,TALyW4a,2.5,Batch#004
SN0181,Bike-181,TAlhSrc,2.7,Batch#004
SN0182,Bike-182,TASvjMd,2.7,Batch#003
SN0183,Bike-183,TAJffpx,2.7,Batch#001
SN0184,Bike-184,TAI2Wa0,2.7,Batch#004
SN0185,Bike-185,TAGOFZW,2.5,Batch#004
SN0186,Bike-186,TA2uz5Q,2.7,Batch#004
SN0187,Bike-187,TAVKUos,2.7,Batch#004
SN0188,Bike-188,TAiTJeO,2.7,Batch#001
SN0189,Bike-189,TAoOouB,2.6,Batch#001
SN0190,Bike-190,TAYdb4g,2.5,Batch#004
SN0191,Bike-191,TAW4Rzj,2.5,Batch#002
SN0192,Bike-192,TAgeELE,2.5,Batch#001
SN0193,Bike-193,TAQn3Wm,2.7,Batch#003
SN0194,Bike-194,TATGCgX,2.6,Batch#004
SN0195,Bike-195,TA9kn8r,2.7,Batch#001
SN0196,Bike-196,TASzsqm,2.7,Batch#004
SN0197,Bike-197,TAE2Cee,2.6,Batch#004
SN0198,Bike-198,TAp44Kb,2.7,Batch#004
SN0199,Bike-199,TA6eRQV,2.5,Batch#001
SN0200,Bike-200,TAxFQPl,2.5,Batch#004
SN0201,Bike-201,TAvpe9Z,2.7,Batch#002
SN0202,Bike-202,TA3u7xV,2.5,Batch#004
SN0203,Bike-203,TAQ249I,2.7,Batch#004
SN0204,Bike-204,TAPj2NB,2.7,Batch#004
SN0205,Bike-205,TA5S1pQ,2.7,Batch#002
SN0206,Bike-206,TAPu8D2,2.6,Batch#004
SN0207,Bike-207,TAKkKAc,2.6,Batch#002
SN0208,Bike-208,TAb9tUz,2.6,Batch#003
SN0209,Bike-209,TAsOIjr,2.6,Batch#003
SN0210,Bike-210,TAI0v7S,2.6,Batch#003
SN0211,Bike-211,TAqDr8J,2.7,Batch#004
SN0212,Bike-212,TA0NOWI,2.6,Batch#004
SN0213,Bike-213,TAYmeLB,2.6,Batch#003
SN0214,Bike-214,TAOSKKE,2.6,Batch#004
SN0215,Bike-215,TAOw5M5,2.5,Batch#003
SN0216,Bike-216,TAGZH5o,2.7,Batch#001
SN0217,Bike-217,TAKPDcK,2.7,Batch#004
SN0218,Bike-218,TAvpU9X,2.6,Batch#003
SN0219,Bike-219,TAIb5WL,2.6,Batch#001
SN0220,Bike-220,TAeHVGQ,2.6,Batch#003
SN0221,Bike-221,TAlSFQv,2.6,Batch#001
SN0222,Bike-222,TAQemGz,2.6,Batch#004
SN0223,Bike-223,TA4OZJ1,2.7,Batch#001
SN0224,Bike-224,TAW0xBT,2.5,Batch#002
SN0225,Bike-225,TAjByGM,2.7,Batch#004
SN0226,Bike-226,TASdARj,2.5,Batch#004
SN0227,Bike-227,TABkRgL,2.5,Batch#004
SN0228,Bike-228,TAEqmqi,2.7,Batch#001
SN0229,Bike-229,TANhNAH,2.6,Batch#004
SN0230,Bike-230,TA3bdhA,2.7,Batch#002
SN0231,Bike-231,TA1gXgs,2.7,Batch#003
SN0232,Bike-232,TAhzUCB,2.7,Batch#001
SN0233,Bike-233,TACwfWN,2.7,Batch#001
SN0234,Bike-234,TAu9IE0,2.6,Batch#001
SN0235,Bike-235,TAJNyUr,2.6,Batch#003
SN0236,Bike-236,TAHRkuH,2.7,Batch#003
SN0237,Bike-237,TAidDzF,2.5,Batch#002
SN0238,Bike-238,TAfs2Tp,2.5,Batch#003
SN0239,Bike-239,TAjQXjc,2.5,Batch#004
SN0240,Bike-240,TAJLV0n,2.6,Batch#004
SN0241,Bike-241,TAutpUE,2.7,Batch#001
SN0242,Bike-242,TA6DQKq,2.7,Batch#004
SN0243,Bike-243,TAP9eZy,2.6,Batch#002
SN0244,Bike-244,TA9HGbp,2.6,Batch#001
SN0245,Bike-245,TANxJ4z,2.5,Batch#002
SN0246,Bike-246,TAHC8Uo,2.7,Batch#003
SN0247,Bike-247,TAoIsEg,2.7,Batch#004
SN0248,Bike-248,TAhjTke,2.5,Batch#004
SN0249,Bike-249,TAIcoxR,2.7,Batch#001
